u,g,r,i,z,ra,dec,flags_r
19.29103,17.51435,16.57959,16.10045,15.74404,180.020473988913,-0.430982766595321,6755674587566096
18.47885,16.43985,15.48277,15.03985,14.69474,180.023392486421,-0.495322618007001,6755674587566096
22.97347,22.53067,21.64798,21.64381,21.05509,180.020391219031,-0.49650942045523,4503874807267344
20.16097,18.41668,17.53968,17.10373,16.7993,180.022223785024,-0.0748523926871167,4503874773745664
18.5003,16.75734,15.90921,15.52969,15.21604,180.166423852426,-0.13440996922395,6755674587430928
21.59976,19.42961,18.26475,17.69862,17.22655,180.167809561352,-0.133362604203782,4503874773745680
21.46671,19.74809,18.74809,18.31962,18.01019,180.460442076392,-0.184462665439317,4503874773745664
19.7235,17.83928,16.99367,16.60379,16.27946,180.732133443954,0.399208044510324,6755674587430928
23.39812,22.88674,21.72991,21.15897,20.59988,180.730506525503,0.397349790333633,2310346883987406864
18.40161,16.40783,15.45212,15.01493,14.65723,180.86820384582,0.0601393102856767,6755674587430928
19.17843,17.82005,17.23174,16.85038,16.63262,180.315238098015,0.497922471271286,6755674587430928
24.20154,22.84093,20.74581,20.08282,19.35657,180.45899910249,0.426897057294105,4503874849243464
25.71356,22.67622,21.51271,20.93939,20.51785,180.315606449639,0.484966213446583,4503874773712896
22.13207,20.96961,20.35088,20.16202,20.04004,180.168320935461,0.432171290542635,4503874840855880
24.78355,22.51334,21.93054,22.13081,21.74837,180.167162539336,0.437752190672315,4503874782134272
22.57998,21.89137,21.68894,21.40856,20.62736,180.021980034783,0.463825779845019,4503874773746944
22.77063,22.18839,21.49218,20.78416,20.42577,180.021101379601,0.420843788943538,4503874773712896
22.78262,21.55584,20.79345,20.3672,19.88734,180.020168920801,0.424750084731642,6755674587398160
24.49653,23.85484,22.61801,21.71287,21.23429,180.868015720986,0.039324232115897,4503874773712896
22.06161,21.7035,20.85436,20.56837,20.44758,180.86790454894,0.0275780761220709,4503874782134528
25.47061,22.61872,21.0142,20.47615,20.12281,180.865412318936,0.080696729675564,4503874773712896
22.79176,21.17225,20.5057,20.32831,20.43052,180.866768415686,0.0871923476915019,6755399709523984
21.5255,21.01181,20.26235,19.82534,19.30687,180.867164027556,0.0866095814897397,4503874773745680
21.29344,19.82351,18.83692,18.33534,18.01526,180.868602886279,0.0450914560996962,4503874773745664
26.09706,24.95138,22.97987,23.47332,22.5082,180.868151739723,0.064932054543702,4503874815688976
24.42499,24.46641,22.76458,23.83671,22.38612,180.867302743162,0.0552614409804725,4503874807300112
23.12741,22.60204,21.41636,20.66879,20.64505,180.867505262748,0.203910994947764,4503874807300112
